2019-09-08 09:37:58:031   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:58:222   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:58:231   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:58:422   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:58:431   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:58:622   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:58:631   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:58:822   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:58:831   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:58:909   192.168.1.13:12345接收数据：OK

2019-09-08 09:37:59:022   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:59:031   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:59:222   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:59:231   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:59:422   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:59:431   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:59:623   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:59:631   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:59:822   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:59:831   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:00:022   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:00:031   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:00:222   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:00:231   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:00:422   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:00:431   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:00:558   192.168.1.13:12345接收数据：OK

2019-09-08 09:38:00:622   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:38:00:631   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:00:822   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:38:00:831   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:01:022   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:38:01:031   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:01:222   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:38:01:231   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:01:356   192.168.1.13:12345接收数据：OK

2019-09-08 09:38:01:422   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:01:431   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:01:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:01:631   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:01:823   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:01:831   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:02:023   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:02:031   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:02:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:02:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:02:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:02:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:02:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:02:632   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:02:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:02:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:03:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:03:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:03:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:03:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:03:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:03:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:03:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:03:632   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:03:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:03:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:04:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:04:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:04:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:04:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:04:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:04:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:04:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:04:632   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:04:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:04:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:05:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:05:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:05:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:05:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:05:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:05:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:05:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:05:632   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:05:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:05:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:06:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:06:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:06:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:06:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:06:424   192.168.1.13:12345接收数据：+STACH1:0,100000

